Image,ELO,Uncertainty,Upvotes,Downvotes
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/gvefvd sd.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FQqPpuPWUAoYA0U.jpg,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hbdr3d.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fe5Xzz0XoBIgakz.jpg,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/5zgdsyv.jfif,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/Fb7CBBLXkAEXVdT.jpg,-4.39,7.17,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/a a asd asd.jfif,-5.99,6.87,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdf4d.jfif,-5.99,6.87,0,1
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FUcqvJFWQAE7-KM.jpg,-6.95,6.46,0,2
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/FlA1dumWIAAT_HW.jpg,-6.95,6.46,0,2
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/hgfhgf.jfif,-6.95,6.46,0,2
C:/Users/Quentin Wach/Desktop/MU/DATA Library/Images/emiru/asdd33fa.jpg,-6.95,6.46,0,2
